ID;Host ID;Host Since;Neighbourhood;City;State;Zipcode;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Cleaning Fee;Availability 365;Review Scores Location;Cancellation Policy;Accommodates;Reviews per Month;Minimum Nights;Price;Monthly Price;Weekly Price;Occupancy
15141125;96019257;2016-09-20;Embajadores;Madrid;Comunidad de Madrid;28005;40.40745268477803;-3.707995475443264;Loft;Entire home/apt;1.0;0.0;1.0;Real Bed;;20.0;66.0;10.0;moderate;2.0;5.11;2.0;50.0;;;1.8581818181818184
9470166;9885245;2013-11-08;Embajadores;Madrid;Comunidad de Madrid;28012;40.40831556101927;-3.705006385704201;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;15.0;347.0;9.0;strict;4.0;5.88;1.0;50.0;;;0.20334293948126803
17444981;118059488;2017-02-25;Embajadores;Madrid;Comunidad de Madrid;28012;40.413722014584295;-3.706823118653672;Apartment;Entire home/apt;1.5;1.0;2.0;Real Bed;;25.0;155.0;10.0;moderate;4.0;6.18;1.0;77.0;;;0.4784516129032258
3284565;1892467;2012-03-09;Embajadores;Madrid;Community of Madrid;28012;40.41126337271805;-3.6973054373712886;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;25.0;191.0;9.0;strict;2.0;0.19;7.0;50.0;740.0;300.0;0.08356020942408378
499911;2467212;2012-05-26;Embajadores;Madrid;Comunidad de Madrid;28012;40.41255625665078;-3.701155364799422;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;;60.0;237.0;10.0;strict;5.0;1.39;4.0;95.0;;590.0;0.28151898734177216
1346747;7306349;2013-07-05;La Latina;Madrid;Community of Madrid;28005;40.40790775263045;-3.705095395441632;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;25.0;234.0;9.0;moderate;4.0;0.62;2.0;69.0;1100.0;400.0;0.06358974358974359
3097553;15327748;2014-05-10;Embajadores;Madrid;Community of Madrid;28012;40.408983157395134;-3.698251543680056;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;0.0;153.0;10.0;moderate;2.0;0.33;1.0;70.0;;;0.02588235294117647
13440784;76707968;2016-06-09;La Latina;Madrid;Comunidad de Madrid;28005;40.40835752461163;-3.704043265135827;Apartment;Private room;1.5;1.0;1.0;Real Bed;;0.0;0.0;7.0;moderate;2.0;0.22;1.0;30.0;450.0;150.0;2.6400002640000265e-07
7818234;5239042;2013-02-26;Embajadores;Madrid;Comunidad de Madrid;28012;40.411622134427205;-3.703281054404274;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;20.0;319.0;9.0;moderate;4.0;0.49;3.0;57.0;;332.0;0.05529780564263323
1386096;6643556;2013-05-29;La Latina;Madrid;Community of Madrid;28012;40.407338871766925;-3.7070192202047374;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;0.0;250.0;10.0;moderate;2.0;0.12;5.0;59.0;800.0;399.0;0.028799999999999996
